/home/xchen/GANs/DCGAN-PyTorch/samples/1108_fashion_10kepochs_hatano

[(7800, 86.17794805798678),
 (9900, 86.62362870073497),
 (8700, 87.46533989005204),
 (9500, 88.57010639858163),
 (7700, 89.06914057716745),
 (7900, 89.71464345074068),
 (8000, 90.83187812218773),
 (9700, 91.94759777597324),
 (9000, 92.26441336194057),
 (8400, 92.94792918756653),
 (9100, 93.06857837409214),
 (9800, 93.34687102272554),
 (7400, 93.80929481092221),
 (8100, 94.14654597087781),
 (9600, 94.75714032167099),
 (8300, 95.48630730949569),
 (9200, 96.84564854817327),
 (8900, 98.2828427127811),
 (9300, 98.38371641389273),
 (6000, 98.71347117536305),
 (6400, 99.30822831092951),
 (7300, 100.11150368682058),
 (8500, 100.31154337942098),
 (7600, 100.81796789291758),
 (6300, 101.25280300910859),
 (9400, 103.72740490942795),
 (5200, 104.4321390487186),
 (6700, 104.73719026668434),
 (4300, 104.94403430551552),
 (4600, 105.52895216148866),
 (7500, 106.20323800652557),
 (6900, 106.80204807619563),
 (3500, 107.10911803456443),
 (5500, 107.25885681236628),
 (5700, 107.49891728926596),
 (4200, 107.65640697741514),
 (8800, 108.02216112826329),
 (3800, 108.55456299205616),
 (4700, 109.18212898134317),
 (6500, 109.19790341923209),
 (6200, 110.05214384767496),
 (6800, 111.18886888592169),
 (8600, 111.56357500186871),
 (7100, 111.95829495508488),
 (5100, 112.6101390412056),
 (5300, 112.62176227608882),
 (5000, 112.85955564037147),
 (4900, 114.09703718314344),
 (3900, 114.41530766367313),
 (4800, 114.51328807968395),
 (3400, 114.87028632707742),
 (5900, 115.17371183805537),
 (2900, 115.33561959159653),
 (4000, 115.47593848404838),
 (4500, 116.01488209705332),
 (7000, 116.04330537761976),
 (4400, 116.14220281467033),
 (4100, 116.8126702735994),
 (6600, 119.35346924466478),
 (5400, 119.428856184893),
 (3600, 119.94236437496943),
 (5600, 120.68284600623221),
 (2700, 121.81869921398282),
 (2600, 123.38797230460483),
 (6100, 124.457663626418),
 (3200, 125.41275834029233),
 (3300, 128.7456161943728),
 (2500, 130.5634357713716),
 (2400, 132.07728791999),
 (2200, 137.53675393937039),
 (2300, 139.71772458934464),
 (7200, 140.5890935652346),
 (2100, 141.31069655969594),
 (1900, 145.0440256123607),
 (2800, 153.09064298336102),
 (2000, 158.40652145056964),
 (3700, 159.31493190316849),
 (3100, 160.337128990861),
 (1800, 163.89367852220363),
 (1600, 164.9271669052019),
 (1700, 169.2548491146569),
 (1500, 170.66839407661428),
 (1400, 180.55856955294064),
 (5800, 189.92876668738992),
 (1200, 195.91651862338523),
 (1100, 213.1531796288386),
 (1300, 214.87793410871745),
 (900, 235.47730987375502),
 (1000, 245.19599568788774),
 (8200, 255.81510338381116),
 (800, 274.81776085115223),
 (700, 291.35563557072726),
 (300, 292.36334622375057),
 (600, 294.7034331558823),
 (400, 300.1147299024444),
 (200, 310.04989060869696),
 (3000, 318.1351930884156),
 (500, 321.15564417513167),
 (100, 430.5305975532774),
 (0, 545.9990919029668)]
